Country;Median Age;GDP 2018;Population 2020 (x 1000);Females 2018 (rate);Total Infected;Total Deaths;Total Recovered
Albania;32.9;15102500898.238;2877.797;49.06309459593061;949;31;742
Algeria;28.1;173757952824.25;43851.044;49.4842678798151;7377;561;3746
Argentina;31.7;519871519807.795;45195.77400000001;51.2373484456557;8809;393;2872
Armenia;35.1;12433089919.0459;2963.243;52.9565771522637;5041;64;2164
Australia;38.7;1433904348500.12;25499.884;50.1996232411296;7072;100;6431
Austria;44.0;455285818035.125;9006.398000000001;50.82942664825029;16321;632;14678
Azerbaijan;31.3;46939529411.7647;10139.177;50.1157491047071;3518;41;2198
Bahrain;32.3;37746196808.5106;1701.575;36.348251605668295;7532;12;2952
Bangladesh;26.7;274024958965.892;164689.383;49.3872966665271;25121;370;4993
Belarus;40.0;59662495092.2654;9449.323;53.456054224148595;31508;175;10620
Belgium;41.4;542761092103.469;11589.623;50.593319387084996;55791;9108;14687
Bosnia and Herzegovina;42.1;20161865419.4327;3280.8190000000004;51.010536025288104;2321;134;1522
Brazil;32.0;1868626087908.48;212559.417;50.8299167629894;271885;17983;106794
Bulgaria;42.7;65132951116.4756;6948.445;51.4140884138516;2259;112;646
Cambodia;25.3;24542474061.2426;16718.965;51.1979812668406;122;0;122
Canada;42.2;1713341704877.01;37742.154;50.3915299543153;80493;6028;40069
Chile;34.4;298231133532.74896;19116.201;50.727031839004496;49579;509;21507
China;37.4;13608151864637.9;1439323.7759999996;48.6793739572695;84063;4638;79310
Colombia;30.0;331047040087.878;50882.890999999996;50.925771695229386;16935;613;4050
Costa Rica;31.3;60130106115.6294;5094.1179999999995;50.0098510974123;882;10;577
Croatia;43.0;60971699315.1776;4105.267;51.8526217475815;2232;96;1967
Cuba;41.5;100023000000.0;11326.616000000002;50.3328498327681;1887;79;1538
Cyprus;36.8;24961988663.2026;1207.359;49.9710744983023;918;17;515
Czech Republic;42.1;245225882903.37;10708.981000000002;50.8085889327815;8647;302;5726
Denmark;42.2;355675329085.952;5792.2019999999975;50.2742027259115;11242;551;9614
Dominican Republic;28.1;85555390387.0355;10847.91;50.007796071702;13223;441;6613
Ecuador;27.7;108398058000.0;17643.054;49.9706251782698;34151;2839;3457
Estonia;42.7;30732144528.9795;1326.535;52.8584268202066;1791;64;938
Ethiopia;17.9;84355604752.5299;114963.588;49.978888418806704;365;5;120
Finland;42.5;276743120515.764;5540.72;50.720758485383215;6399;301;5000
France;41.4;2777535239277.98;65273.511;51.58424048113361;180933;28025;62678
Georgia;38.1;17599660629.0202;3989.167;52.29123750357861;707;12;456
Germany;47.1;3947620162502.96;83783.942;50.6603673700529;177778;8081;155681
Ghana;21.1;65556464048.1539;31072.94;49.32582970438379;6096;31;1773
Greece;44.5;218031844583.994;10423.054;50.916201905221;2840;165;1374
Honduras;23.0;23969890430.7882;9904.607;50.049340168466905;2955;147;349
Hungary;42.3;157882912778.254;9660.351;52.4324280334941;3556;467;1412
Iceland;36.5;25878475760.1131;341.24300000000005;49.8117085224168;1802;10;1789
India;27.9;2718732231257.57;1380004.385;48.0235396426684;106475;3302;42309
Indonesia;30.2;1042173300625.55;273523.615;49.6438821889217;18496;1221;4467
Ireland;36.8;382487490532.479;4937.786;50.4255094845201;24251;1561;19470
Israel;29.9;370587977153.58295;8655.535;50.2981265779531;16659;278;13435
Italy;45.5;2083864259622.65;60461.825999999994;51.37666962556521;226699;32169;129401
Jamaica;26.0;15713908816.1463;2961.167;50.339829626901206;520;9;145
Japan;47.3;4971323079771.87;126476.461;51.1592591291078;16367;768;11564
Kazakhstan;30.6;179339994859.38394;18776.707;51.5114836468188;6751;35;3598
Kenya;19.7;87908262519.9164;53771.295999999995;50.3160203897178;963;50;358
South Korea;41.8;1619423701169.63;51269.185;49.9168817920843;11110;263;10066
Kuwait;29.3;140645364238.411;4270.571;39.5481706247096;16764;121;4681
Latvia;43.6;34409229177.9105;1886.1979999999999;54.0101666562093;1012;21;694
